pH,R,G,B
0,239,28,35
0,237,29,35
0,236,30,35
0,239,28,35
0,239,28,35
0,236,30,35
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,240,29,36
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,239,28,35
0,240,27,37
0,237,29,37
0,237,29,37
0,239,28,37
0,239,28,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,237,29,37
0,238,27,36
0,235,28,36
0,234,29,36
0,236,28,36
0,236,28,36
0,235,28,36
0,236,29,37
0,236,29,37
0,236,29,37
0,236,29,37
0,236,29,37
0,236,29,37
0,236,29,37
0,236,29,37
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
0,235,28,36
